datetime	t 	rh 	u 	p 	Qsi 	T_g
20101013T000000	3.331	52.925	0.985	0.0000	6.142	3.114
20101013T010000	4.397	46.358	1.743	0.0000	6.142	2.968
20101013T020000	5.160	44.108	1.543	0.0000	6.142	2.902
20101013T030000	4.512	49.160	1.597	0.0000	6.142	2.869
20101013T040000	4.381	54.003	1.715	0.0179	6.142	2.800
20101013T050000	4.735	56.140	1.760	0.0016	6.142	2.760
20101013T060000	3.945	60.258	1.064	0.0000	6.142	2.800
20101013T070000	3.257	61.340	0.768	0.0140	6.142	2.821
20101013T080000	1.854	66.095	0.816	0.0088	6.142	2.758
20101013T090000	0.898	69.825	0.700	0.0335	30.182	2.627
20101013T100000	2.633	58.353	0.538	0.0834	93.740	2.490
20101013T110000	4.208	48.125	0.627	0.0000	169.048	2.477
20101013T120000	5.907	40.635	1.145	0.0000	324.537	2.718
20101013T130000	8.019	34.375	1.689	0.0000	491.658	3.163
20101013T140000	10.067	27.740	1.209	0.0052	625.184	3.875
20101013T150000	11.050	24.020	1.075	0.0255	565.346	4.229
20101013T160000	10.163	25.388	0.788	0.0000	331.320	4.737
20101013T170000	10.315	23.683	0.622	0.0000	227.903	4.863
20101013T180000	7.828	34.740	0.585	0.0024	94.761	5.003
20101013T190000	5.520	33.788	1.129	0.0000	28.031	4.672
20101013T200000	5.637	32.847	1.129	0.0036	6.142	6.170
20101013T210000	5.036	31.379	1.201	0.0000	6.142	5.994
20101013T220000	4.065	36.340	1.224	0.0121	6.142	5.806
20101013T230000	3.854	38.603	1.199	0.0171	6.142	5.644
20101014T000000	4.162	37.950	1.137	0.0060	6.142	5.477
20101014T010000	4.773	37.741	1.216	0.0000	6.142	5.326
20101014T020000	4.581	39.227	1.154	0.0039	6.142	5.184
20101014T030000	4.173	40.901	1.235	0.0000	6.142	5.069
20101014T040000	5.524	35.169	1.303	0.0000	6.142	4.953
20101014T050000	8.062	23.540	1.340	0.0000	6.142	4.931
20101014T060000	9.317	18.151	1.337	0.0000	6.142	4.840
20101014T070000	9.247	19.252	1.291	0.0000	6.142	4.936
20101014T080000	9.274	19.028	1.261	0.0000	6.142	5.000
20101014T090000	9.525	18.117	1.255	0.0171	21.857	5.044
20101014T100000	10.446	17.286	1.347	0.0000	190.993	5.078
20101014T110000	11.516	15.300	1.438	0.1025	399.176	5.131
20101014T120000	12.417	13.553	1.430	0.0000	575.298	5.254
20101014T130000	12.748	13.422	1.436	0.0000	656.370	5.427
20101014T140000	13.149	13.192	1.421	0.0000	688.603	5.655
20101014T150000	13.231	13.780	1.392	0.0750	549.277	5.984
20101014T160000	12.857	15.300	1.345	0.0000	445.639	6.191
20101014T170000	12.171	17.294	1.252	0.0000	199.217	6.295
20101014T180000	11.023	21.618	1.187	0.0016	29.684	6.310
20101014T190000	10.211	22.642	1.102	0.0143	15.622	6.275
20101014T200000	9.535	24.522	1.081	0.0012	6.142	6.197
20101014T210000	9.042	27.840	1.155	0.0132	6.142	6.119
20101014T220000	8.675	30.969	1.109	0.0104	6.142	6.047
20101014T230000	7.835	31.666	1.088	0.0092	6.142	5.993
20101015T000000	7.805	33.433	1.177	0.0000	6.142	5.915
20101015T010000	8.486	32.816	1.333	0.0000	6.142	5.859
20101015T020000	7.716	37.318	1.135	0.0188	6.142	5.826
20101015T030000	7.688	39.232	1.113	0.0000	6.142	5.766
20101015T040000	7.429	44.918	1.128	0.0044	6.142	5.770
20101015T050000	6.465	55.709	1.117	0.0080	6.142	5.782
20101015T060000	4.184	80.482	1.021	0.7918	6.142	5.765
20101015T070000	2.638	89.873	0.993	0.0188	6.142	5.634
20101015T080000	1.334	90.234	1.000	1.7827	6.142	5.514
20101015T090000	-0.686	94.104	1.104	0.9095	6.142	5.331
20101015T100000	-1.697	96.116	1.010	2.3803	9.279	5.093
20101015T110000	-1.762	96.193	1.014	0.6687	12.098	4.919
20101015T120000	-1.272	95.264	0.994	0.5729	36.362	4.801
20101015T130000	-0.554	93.407	0.987	0.1484	39.525	4.725
20101015T140000	-0.486	92.865	1.002	0.1352	31.373	4.669
20101015T150000	-0.179	94.104	1.050	0.0540	165.977	4.597
20101015T160000	-0.551	90.156	1.030	0.0432	265.460	4.555
20101015T170000	-0.109	89.125	1.007	0.0000	187.402	4.518
20101015T180000	-0.999	89.692	1.073	0.0419	45.369	4.479
20101015T190000	-2.232	89.589	1.056	0.0271	13.118	4.410
20101015T200000	-2.885	89.899	1.030	0.0177	6.142	4.337
20101015T210000	-3.356	90.131	1.059	0.0000	6.142	4.278
20101015T220000	-3.928	90.801	1.068	0.0379	6.142	4.234
20101015T230000	-4.272	90.337	1.054	0.0000	6.142	4.174
20101016T000000	-4.644	91.188	1.093	0.0118	6.142	4.106
20101016T010000	-4.839	90.956	1.008	0.0262	6.142	4.031
20101016T020000	-5.260	90.750	1.084	0.0000	6.142	3.959
20101016T030000	-5.643	90.879	1.038	0.0041	6.142	3.877
20101016T040000	-5.730	91.008	1.026	0.0059	6.142	3.793
20101016T050000	-5.923	90.750	1.030	0.0033	6.142	3.713
20101016T060000	-6.116	90.853	1.061	0.0064	6.142	3.624
20101016T070000	-5.800	91.188	0.993	0.0387	6.142	3.542
